Light Condition,Daylight,Dark but Lighted,Dark,Dawn or Dusk,Unknown,Total
Normal,1173,904,734,153,1,2965
Rain,66,45,46,7,0,164
Snow/Sleet,0,0,0,0,0,0
Other,4,7,29,8,1,49
Unknown,0,0,3,1,1,5
Total,1243,956,812,169,3,3183
