,single_num,single_alc-rel,single_percent-alc-rel,multiple_num,multiple_alc-rel,multiple_percent-alc-rel,total_num,total_alc-rel,total_percent-alc-rel
Midnight to 2:59 a.m.,82,38,46,33,19,58,115,57,50
3 a.m. to 5:59 a.m.,75,29,39,31,17,54,106,46,43
6 a.m. to 8:59 a.m.,47,8,17,37,2,5,84,10,12
9 a.m. to 11:59 a.m.,55,6,10,51,6,12,106,12,11
Noon to 2:59 p.m.,56,4,6,65,7,11,121,10,9
3 p.m. to 5:59 p.m.,79,17,21,62,12,20,141,29,20
6 p.m. to 8:59 p.m.,112,34,30,84,31,37,196,65,33
9 p.m. to 11:59 p.m.,113,40,35,51,24,47,164,64,39
Total,619,175,28,414,118,29,1033,293,28
