,single_num,single_alc-rel,single_percent-alc-rel,multiple_num,multiple_alc-rel,multiple_percent-alc-rel,total_num,total_alc-rel,total_percent-alc-rel
Midnight to 2:59 a.m.,65,35,54,29,19,66,94,54,58
3 a.m. to 5:59 a.m.,43,17,38,22,12,55,65,29,44
6 a.m. to 8:59 a.m.,33,8,24,17,2,10,50,10,19
9 a.m. to 11:59 a.m.,22,2,11,35,2,7,57,5,8
Noon to 2:59 p.m.,44,10,23,58,10,17,102,20,20
3 p.m. to 5:59 p.m.,58,12,20,60,21,35,118,33,28
6 p.m. to 8:59 p.m.,71,26,37,44,14,32,115,40,35
9 p.m. to 11:59 p.m.,97,47,49,35,22,64,132,70,53
Total,433,158,36,300,103,34,733,260,35
