Light Condition,Daylight,Dark but Lighted,Dark,Dawn or Dusk,Unknown,Total
Normal,36,7,18,3,11,75
Rain,2,0,2,0,0,4
Snow/Sleet,3,0,3,1,0,7
Other,0,0,2,0,0,2
Unknown,0,0,4,0,4,8
Total,41,7,29,4,15,96
