Light Condition,Daylight,Dark but Lighted,Dark,Dawn or Dusk,Unknown,Total
,,,,,,
Normal,417,278,152,46,0,893
Rain,31,47,25,10,0,113
Snow/Sleet,3,4,5,0,0,12
Other,0,5,5,0,0,10
Unknown,3,0,2,0,0,5
Total,454,334,189,56,0,1033
