Light Condition,Daylight,Dark but Lighted,Dark,Dawn or Dusk,Unknown,Total
Normal,288,142,156,27,4,617
Rain,26,25,31,3,1,86
Snow/Sleet,2,1,0,0,0,3
Other,3,4,7,1,3,18
Unknown,3,0,5,0,1,9
Total,322,172,199,31,9,733
